Nombre,SKU,EAN,Marca,Precio,Stock,Descripcion,Talla,Material,Color,Genero
Polera Lisa Premium,VEST-IMP-001,7809991000018,NordBasics,13990,240,Polera de algodón peinado 180g,M,Algodón,Negro,Unisex
Polera Lisa Premium Blanca,VEST-IMP-002,7809991000025,NordBasics,13990,180,Polera de algodón peinado 180g,L,Algodón,Blanco,Hombre
Polerón Clásico Gris,VEST-IMP-003,7809991000032,NordBasics,26990,90,Polerón con felpa interior,L,Algodón/Poliéster,Gris,Unisex
Polera Deportiva Azul,VEST-IMP-004,7809991000049,MoveFit,15990,150,Tela técnica transpirable,S,Poliéster,Azul,Mujer
Polera Deportiva Roja,VEST-IMP-005,7809991000056,MoveFit,15990,130,Tela técnica transpirable,M,Poliéster,Rojo,Hombre
Polerón Oversize Negro,VEST-IMP-006,7809991000063,StreetLab,29990,60,Corte holgado urbano,XL,Algodón,Negro,Unisex
Polera Cuello V,VEST-IMP-007,7809991000070,NordBasics,12990,300,Corte entallado cuello V,S,Algodón,Blanco,Mujer
Polera Manga Larga,VEST-IMP-008,7809991000087,ThermoWear,18990,110,Primera capa térmica,L,Algodón/Elastano,Gris,Hombre
Polerón con Cierre,VEST-IMP-009,7809991000094,StreetLab,31990,45,Cierre completo puños elásticos,M,Algodón,Azul,Unisex
Polera Estampada,VEST-IMP-010,7809991000100,ArtWear,14990,200,Estampado serigrafía,M,Algodón,Negro,Unisex
